Query	invertebrates-Sbjct	E-value	non_invertebrates-Sbjct	E-value	
DdB|DdB_04772	XP_046340585.2	1.22e-74	WP_207634960.1	6.54e-38
DdB|DdB_04773	XP_046340585.2	2.09e-81	WP_207634960.1	1.68e-40
DdB|DdB_04835	XP_046340585.2	3.57e-87	WP_207634960.1	1.52e-37
DdB|DdB_05065	XP_063931248.1	1.35e-12	XP_056691052.1	2.81e-10
DdB|DdB_05156	XP_006824501.1	1.37e-16	WP_360932752.1	9.93e-11
DdB|DdB_05204	XP_049857205.1	1.2e-12	WP_266909512.1	1.39e-11
DdB|DdB_05397	XP_060074274.1	1.95e-15	WP_167863879.1	2.58e-13
DdB|DdB_05398	XP_047990724.1	3.49e-08	WP_181023510.1	2.09e-06
DdB|DdB_05512	XP_006824501.1	9.03e-43	WP_207634960.1	7.43e-25
DdB|DdB_05557	XP_046340585.2	1.5e-92	WP_207634960.1	9.49e-50
DdB|DdB_05569	XP_052848683.1	2.13e-10	--	--
DdB|DdB_05669	XP_061381354.1	3.09e-21	WP_140711267.1	1.02e-21
DdB|DdB_05720	XP_045588048.1	5.19e-43	WP_207634960.1	2.76e-24
DdB|DdB_06032	XP_021367590.1	7.09e-61	WP_276351791.1	1.11e-36
DdB|DdB_06033	XP_021367590.1	6.14e-43	WP_310225214.1	1.2e-21
DdB|DdB_06240	XP_063593165.1	1.14e-67	WP_169926223.1	2.72e-44
DdB|DdB_06252	XP_013305907.2	7.33e-53	--	--
DdB|DdB_06261	XP_064070409.1	1.31e-53	--	--
DdB|DdB_06281	XP_046340585.2	1.24e-99	WP_207634960.1	9.67e-48
DdB|DdB_06318	XP_046340585.2	6e-110	XP_057548724.1	9.4e-51
DdB|DdB_06482	XP_013291189.1	5.09e-22	--	--
DdB|DdB_06558	XP_013396665.1	1.28e-13	WP_071905365.1	3.94e-15
DdB|DdB_06785	XP_037517487.1	4.5e-83	WP_342006457.1	8.85e-156
DdB|DdB_06787	XP_043264102.1	8.02e-48	WP_029726089.1	1.04e-88
DdB|DdB_06795	XP_043264072.1	2.06e-14	WP_144531251.1	4.67e-144
DdB|DdB_06798	XP_046392885.1	4.68e-06	WP_106610988.1	0.0
DdB|DdB_06799	XP_045588575.1	1.48e-10	WP_342006463.1	2.25e-113
DdB|DdB_06808	XP_023226560.1	4.04e-43	WP_044052404.1	0.0
DdB|DdB_06821	XP_011859231.1	1.88e-41	WP_015250812.1	0.0
DdB|DdB_06838	XP_022778452.1	1.48e-08	WP_063638330.1	2.78e-97
DdB|DdB_06845	XP_063850443.1	7.48e-45	WP_015483942.1	1.23e-135
DdB|DdB_06847	XP_015784023.1	2.05e-82	WP_324271412.1	1.05e-173
DdB|DdB_06849	XP_046852692.1	4.52e-16	WP_014478510.1	3.83e-125
DdB|DdB_06850	XP_006822062.1	1.39e-10	WP_217017334.1	8.13e-144
DdB|DdB_06852	XP_065584296.1	2.23e-78	WP_144500433.1	0.0
DdB|DdB_06863	XP_022799195.1	1.02e-35	WP_106073214.1	0.0
DdB|DdB_06864	XP_018564881.1	2.88e-120	WP_128993597.1	0.0
DdB|DdB_06868	XP_008477414.1	4.54e-24	WP_372402317.1	1.19e-117
DdB|DdB_06874	XP_059486146.1	3.44e-118	WP_003243682.1	0.0
DdB|DdB_06875	XP_060085119.1	4.83e-07	WP_038429916.1	0.0
DdB|DdB_06885	XP_060084992.1	1.94e-06	WP_086344513.1	0.0
DdB|DdB_06894	XP_020605019.1	1.15e-40	WP_342006484.1	0.0
DdB|DdB_06898	XP_055885736.1	2.23e-17	WP_264099383.1	0.0
DdB|DdB_06903	XP_065560016.1	6.95e-77	WP_003227127.1	2.64e-156
DdB|DdB_06905	XP_023212567.1	3.18e-95	WP_259013825.1	0.0
DdB|DdB_06909	XP_027235145.1	7.23e-23	WP_041351705.1	1.83e-75
DdB|DdB_06913	XP_013407515.1	7.82e-85	WP_048655062.1	0.0
DdB|DdB_06914	XP_067127489.1	1.48e-25	WP_338443511.1	8.49e-80
DdB|DdB_06919	XP_031773182.1	1.61e-33	WP_038428045.1	7.28e-165
DdB|DdB_06928	XP_031776088.1	2.82e-07	WP_161476591.1	1.42e-179
DdB|DdB_06929	XP_055337190.1	3.85e-08	WP_347907195.1	4.06e-137
DdB|DdB_06939	XP_037038789.1	3.9e-85	WP_213379687.1	0.0
DdB|DdB_06948	XP_023343673.1	7.97e-72	WP_264379384.1	0.0
DdB|DdB_06965	XP_059097129.1	7.05e-25	WP_130573013.1	3.47e-147
DdB|DdB_06966	XP_053209667.1	1.1e-08	WP_069703605.1	0.0
DdB|DdB_06972	XP_031776076.1	6.14e-34	WP_003227311.1	0.0
DdB|DdB_06973	XP_023226611.1	1.53e-15	WP_014478379.1	1.05e-68
DdB|DdB_06974	XP_037773148.1	1.5e-11	WP_123374256.1	0.0
DdB|DdB_06976	XP_065932979.1	1.28e-17	WP_003242574.1	6.82e-176
DdB|DdB_06980	XP_054165438.1	1.67e-29	WP_338382386.1	0.0
DdB|DdB_06981	XP_065674307.1	6.28e-07	WP_003244564.1	2.43e-152
DdB|DdB_06986	XP_017302180.1	8.3e-91	WP_161621127.1	0.0
DdB|DdB_06989	XP_033097810.1	4.1e-10	WP_326225230.1	8.12e-158
DdB|DdB_06991	XP_039276254.1	2.21e-26	WP_014481292.1	1.49e-162
DdB|DdB_06994	XP_031776064.1	4.78e-34	WP_110109529.1	0.0
DdB|DdB_06998	XP_041483566.1	1.5e-16	WP_021480944.1	0.0
DdB|DdB_07006	XP_022108289.1	1.6e-16	WP_038429828.1	2e-150
DdB|DdB_07008	XP_011873488.1	6.88e-26	WP_213414785.1	9.13e-115
DdB|DdB_07009	XP_063695773.1	8.3e-24	WP_213419908.1	0.0
DdB|DdB_07022	XP_039276253.1	1.98e-53	WP_342006495.1	0.0
DdB|DdB_07023	XP_031772373.1	1.09e-18	WP_342006495.1	3.1e-78
DdB|DdB_07024	XP_039276255.1	1.33e-96	WP_338731462.1	0.0
DdB|DdB_07025	XP_060084823.1	7.56e-26	WP_348709346.1	1.85e-151
DdB|DdB_07030	XP_002115478.1	1.55e-138	WP_085185482.1	0.0
DdB|DdB_07032	XP_021377787.1	2.19e-06	WP_010886635.1	0.0
DdB|DdB_07036	XP_022778510.1	1.63e-97	WP_110109518.1	0.0
DdB|DdB_07037	XP_002422836.1	1.64e-45	WP_220396831.1	0.0
DdB|DdB_07042	XP_052794764.1	6.36e-22	WP_217002038.1	0.0
DdB|DdB_07043	XP_058809769.1	1.54e-11	WP_080316906.1	1.03e-101
DdB|DdB_07045	XP_008480315.1	5.19e-75	WP_080529933.1	0.0
DdB|DdB_07046	XP_031617346.1	1.21e-83	WP_262118788.1	0.0
DdB|DdB_07052	XP_064114818.1	1.1e-42	WP_229762758.1	4.09e-154
DdB|DdB_07055	XP_018567175.1	2.82e-28	WP_029726228.1	0.0
DdB|DdB_07057	XP_023212945.1	1.72e-37	WP_268306516.1	2.45e-177
DdB|DdB_07062	XP_025076068.1	4.08e-29	WP_024571616.1	0.0
DdB|DdB_07072	XP_030847701.1	1.19e-07	WP_015250985.1	0.0
DdB|DdB_07076	XP_059099097.1	2.31e-07	WP_133954527.1	7.78e-116
DdB|DdB_07078	XP_049949290.1	1.62e-20	WP_342006501.1	2.78e-176
DdB|DdB_07082	XP_065584230.1	3.51e-10	WP_144453187.1	0.0
DdB|DdB_07090	XP_063217345.1	5.23e-16	WP_187001945.1	0.0
DdB|DdB_07092	XP_065066087.1	3.8e-26	WP_342006504.1	9.9e-115
DdB|DdB_07093	XP_055328633.1	1.52e-13	WP_110109504.1	0.0
DdB|DdB_07097	XP_033118920.1	2.45e-50	WP_029726066.1	3.08e-119
DdB|DdB_07098	XP_022708763.1	2.72e-60	WP_106073310.1	2.86e-114
DdB|DdB_07106	XP_066251662.1	2.12e-70	WP_306289389.1	0.0
DdB|DdB_07107	XP_020305043.1	5.73e-142	WP_015384905.1	0.0
DdB|DdB_07120	XP_053993649.1	2.88e-38	WP_003227670.1	6.21e-149
DdB|DdB_07122	XP_061942794.1	9.6e-10	WP_003151167.1	1.77e-37
DdB|DdB_07123	XP_037887624.1	1.73e-83	WP_015384895.1	7.21e-121
DdB|DdB_07124	XP_045519701.1	4.78e-24	WP_128473354.1	6.55e-150
DdB|DdB_07130	XP_067682411.1	8.39e-07	WP_003227700.1	4.52e-164
DdB|DdB_07134	XP_028400831.1	8.81e-07	WP_014478242.1	0.0
DdB|DdB_07135	XP_014677855.1	2.65e-35	WP_041850426.1	1.17e-68
DdB|DdB_07136	XP_032240763.2	1.63e-33	WP_033881814.1	2.36e-59
DdB|DdB_07137	XP_033763282.1	1.55e-172	WP_198878436.1	0.0
DdB|DdB_07139	XP_066028136.1	2.68e-07	WP_326131675.1	3.28e-128
DdB|DdB_07144	XP_060085466.1	6.25e-09	WP_014481160.1	0.0
DdB|DdB_07147	XP_049849082.1	2.12e-87	WP_015251031.1	0.0
DdB|DdB_07151	XP_065827030.1	4.18e-07	WP_342006509.1	0.0
DdB|DdB_07152	XP_021378577.1	4.5e-10	WP_021480789.1	0.0
DdB|DdB_07154	XP_029679759.1	4.49e-100	WP_003227776.1	0.0
DdB|DdB_07158	XP_022778878.1	1.62e-20	WP_038427972.1	5.26e-54
DdB|DdB_07171	XP_055339803.1	2.79e-49	WP_087614754.1	0.0
DdB|DdB_07175	XP_031558607.1	2.95e-13	WP_130571911.1	1.78e-94
DdB|DdB_07182	XP_037036842.1	1.21e-22	WP_161476648.1	1.46e-148
DdB|DdB_07187	XP_046564974.1	2.74e-13	WP_161476650.1	1.96e-118
DdB|DdB_07190	XP_061168550.1	7.91e-54	WP_032726998.1	0.0
DdB|DdB_07195	XP_032241822.2	7.8e-25	WP_131228366.1	0.0
DdB|DdB_07211	XP_020907901.1	2.68e-48	WP_131228164.1	0.0
DdB|DdB_07216	XP_065645371.1	1.03e-121	WP_101172235.1	0.0
DdB|DdB_07222	XP_058809770.1	1.67e-08	WP_077671012.1	0.0
DdB|DdB_07234	XP_066259580.1	4.6e-06	WP_130572910.1	7.65e-91
DdB|DdB_07240	XP_060085886.1	1.78e-33	WP_033884628.1	0.0
DdB|DdB_07245	XP_006818760.1	1.26e-13	WP_342006521.1	1.25e-46
DdB|DdB_07257	XP_055326758.1	2.45e-44	WP_220396511.1	0.0
DdB|DdB_07260	XP_060085886.1	1.19e-37	WP_326285066.1	2.79e-175
DdB|DdB_07271	XP_023226593.1	1.1e-06	WP_268358213.1	2.42e-109
DdB|DdB_07279	XP_011494000.1	5.2e-21	WP_131228361.1	0.0
DdB|DdB_07282	XP_001626403.2	6.5e-24	WP_042975255.1	4.85e-132
DdB|DdB_07283	XP_039287976.1	5.59e-13	WP_095843971.1	3.56e-168
DdB|DdB_07284	XP_060083185.1	9.85e-37	WP_172861522.1	4.21e-81
DdB|DdB_07285	XP_039287975.1	3.29e-15	WP_116315810.1	0.0
DdB|DdB_07287	XP_057377426.1	1.81e-42	WP_041352516.1	0.0
DdB|DdB_07296	XP_022778600.1	1.09e-09	WP_131228143.1	0.0
DdB|DdB_07300	XP_001640338.3	3.26e-36	WP_106073369.1	0.0
DdB|DdB_07311	XP_067005278.1	1.13e-143	WP_342006532.1	0.0
DdB|DdB_07317	XP_015912239.2	1.74e-19	WP_217000076.1	0.0
DdB|DdB_07318	XP_035710378.1	9.49e-67	WP_342006535.1	0.0
DdB|DdB_07336	XP_025091491.1	1.24e-10	WP_342006536.1	0.0
DdB|DdB_07345	XP_035829648.1	1.63e-06	WP_342006540.1	0.0
DdB|DdB_07369	XP_065842766.1	2.14e-125	WP_003219957.1	0.0
DdB|DdB_07375	XP_016664048.1	8.84e-17	WP_129134067.1	3.88e-68
DdB|DdB_07381	XP_037930208.1	1.7e-18	WP_024572789.1	3.59e-70
DdB|DdB_07386	XP_037930208.1	3.88e-13	WP_172850021.1	1.16e-60
DdB|DdB_07390	XP_014680465.1	1.69e-20	WP_003228375.1	0.0
DdB|DdB_07396	XP_052677378.1	6.46e-06	WP_003242610.1	0.0
DdB|DdB_07406	XP_064404793.1	4.29e-63	WP_341116997.1	7.06e-142
DdB|DdB_07412	XP_030746156.1	7.5e-24	WP_235120660.1	2.07e-142
DdB|DdB_07414	XP_017302472.1	5.47e-23	WP_003243849.1	0.0
DdB|DdB_07416	XP_027193855.1	2.03e-32	WP_003243913.1	1.67e-109
DdB|DdB_07420	XP_023718633.1	2.31e-06	WP_003243932.1	0.0
DdB|DdB_07421	XP_039275932.1	1.82e-09	WP_217017073.1	6.35e-107
DdB|DdB_07424	XP_065176386.1	1.86e-08	WP_003244227.1	0.0
DdB|DdB_07426	XP_040582638.1	5.87e-11	WP_010886613.1	0.0
DdB|DdB_07427	XP_040582638.1	3e-14	WP_326131774.1	8.91e-85
DdB|DdB_07428	XP_040582639.1	5.51e-18	WP_003243035.1	0.0
DdB|DdB_07430	XP_054157583.1	1.66e-114	WP_014477958.1	0.0
DdB|DdB_07435	XP_065826347.1	8.44e-10	WP_353871247.1	4.57e-56
DdB|DdB_07440	XP_040582638.1	5.57e-21	WP_042974729.1	4.23e-98
DdB|DdB_07441	XP_021967930.2	1.06e-23	WP_229762764.1	0.0
DdB|DdB_07442	XP_029205083.2	5.41e-07	WP_229762662.1	2.65e-58
DdB|DdB_07455	XP_037515622.1	1.3e-37	WP_342006548.1	0.0
DdB|DdB_07456	XP_022778267.1	1.41e-16	WP_003228537.1	1.32e-108
DdB|DdB_07460	XP_037930208.1	2.1e-23	WP_010886609.1	0.0
DdB|DdB_07463	XP_063400909.1	3.73e-15	WP_003243892.1	1.77e-71
DdB|DdB_07464	XP_053206081.1	3.99e-17	WP_003228556.1	8.61e-86
DdB|DdB_07469	XP_059147148.1	4.47e-06	WP_003228569.1	0.0
DdB|DdB_07481	XP_038210088.1	5.48e-18	WP_003151872.1	0.0
DdB|DdB_07482	XP_028517396.1	1.69e-23	WP_213419223.1	0.0
DdB|DdB_07483	XP_065184024.1	3.42e-33	WP_326213109.1	0.0
DdB|DdB_07484	XP_011860179.1	1.22e-13	WP_003222809.1	5.12e-92
DdB|DdB_07485	XP_028517396.1	2.39e-11	WP_003228608.1	0.0
DdB|DdB_07488	XP_065215235.1	9.62e-19	WP_273796474.1	0.0
DdB|DdB_07489	XP_014599637.1	7.3e-15	WP_015251278.1	0.0
DdB|DdB_07490	XP_035829648.1	1.81e-12	WP_327841353.1	0.0
DdB|DdB_07497	XP_019773242.1	2.88e-76	WP_326146039.1	0.0
DdB|DdB_07502	XP_060084586.1	1.64e-12	WP_212060777.1	0.0
DdB|DdB_07505	XP_056004768.1	1.23e-24	WP_336155532.1	0.0
DdB|DdB_07506	XP_052799149.1	3.81e-06	WP_046381309.1	8.72e-68
DdB|DdB_07507	XP_046846259.1	1.18e-23	WP_124059033.1	0.0
DdB|DdB_07511	XP_027052775.1	4.63e-15	WP_003243895.1	0.0
DdB|DdB_07512	XP_022291712.1	2.03e-16	WP_342006550.1	0.0
DdB|DdB_07518	XP_063674865.1	1.19e-24	WP_073545220.1	1.58e-152
DdB|DdB_07524	XP_033746424.1	5.76e-35	WP_235120677.1	0.0
DdB|DdB_07525	XP_063934503.1	1.51e-17	WP_268517153.1	1.62e-53
DdB|DdB_07533	XP_023226591.1	2.88e-139	WP_029725886.1	0.0
DdB|DdB_07546	XP_063934027.1	7.34e-17	WP_342006557.1	0.0
DdB|DdB_07547	XP_012252598.2	3.47e-56	WP_342006558.1	0.0
DdB|DdB_07561	XP_059484538.1	5.49e-24	WP_014477842.1	4.11e-180
DdB|DdB_07567	XP_025091150.1	6.25e-64	WP_159377062.1	0.0
DdB|DdB_07568	XP_015923888.1	2.84e-22	WP_014665195.1	5.18e-136
DdB|DdB_07581	XP_023213720.1	1.06e-11	WP_338730752.1	0.0
DdB|DdB_07590	XP_066020939.1	3.37e-09	WP_220562392.1	0.0
DdB|DdB_07591	XP_044763509.1	1.82e-08	WP_003228846.1	1.5e-110
DdB|DdB_07603	XP_023226576.1	1.48e-111	WP_014665162.1	0.0
DdB|DdB_07606	XP_065584234.1	5.47e-37	WP_003228889.1	8.31e-160
DdB|DdB_07609	XP_067005278.1	8.54e-51	WP_133954390.1	2.17e-89
DdB|DdB_07610	XP_067005278.1	4.85e-43	WP_041352174.1	1.8e-121
DdB|DdB_07611	XP_009012248.1	2.12e-16	WP_043858554.1	2.61e-95
DdB|DdB_07613	XP_014680465.1	1.97e-23	WP_131228016.1	0.0
DdB|DdB_07615	XP_014680465.1	6.18e-22	WP_167560287.1	0.0
DdB|DdB_07616	XP_054157249.1	3.37e-07	WP_160245591.1	5.39e-146
DdB|DdB_07617	XP_014680465.1	1.07e-24	WP_172850921.1	0.0
DdB|DdB_07618	XP_014680465.1	9.7e-22	WP_153529870.1	0.0
DdB|DdB_07622	XP_022915752.1	3.44e-07	WP_161476758.1	2.2e-137
DdB|DdB_07631	XP_040566706.1	5.81e-06	WP_187956706.1	9.65e-101
DdB|DdB_07633	XP_043264080.1	5.31e-26	WP_003228938.1	0.0
DdB|DdB_07635	XP_023226618.1	1.72e-09	WP_268554244.1	2.26e-115
DdB|DdB_07637	XP_022795523.1	5.6e-25	WP_046160778.1	2.22e-87
DdB|DdB_07642	XP_050525197.1	4.4e-14	WP_332276073.1	3.6e-78
DdB|DdB_07643	XP_054012627.1	5.39e-56	WP_014477772.1	0.0
DdB|DdB_07650	XP_027193619.1	9.26e-11	WP_131227895.1	0.0
DdB|DdB_07651	XP_054711878.1	0.0	WP_131227893.1	0.0
DdB|DdB_07652	XP_046646302.1	6.52e-13	WP_335451184.1	2.02e-93
DdB|DdB_07654	XP_037025486.1	2.26e-11	WP_131227891.1	0.0
DdB|DdB_07657	XP_001957032.1	1.13e-11	WP_029318307.1	0.0
DdB|DdB_07659	XP_046606461.1	5.43e-08	WP_256682942.1	5.46e-51
DdB|DdB_07670	XP_023214093.1	2.89e-23	WP_003229060.1	1.59e-179
DdB|DdB_07679	XP_022778267.1	5.98e-13	WP_003229083.1	9.01e-102
DdB|DdB_07683	XP_063933564.1	3.18e-160	WP_003229100.1	0.0
DdB|DdB_07685	XP_022778101.1	1.38e-17	WP_326333083.1	3.41e-60
DdB|DdB_07688	XP_044732934.1	2.27e-45	WP_004399093.1	1.68e-122
DdB|DdB_07689	XP_050031269.2	1.49e-13	WP_122895729.1	1.13e-124
DdB|DdB_07692	XP_050542873.1	1.2e-12	WP_009968016.1	0.0
DdB|DdB_07700	XP_046915024.1	7.72e-06	WP_339175138.1	0.0
DdB|DdB_07703	XP_061168537.1	0.0	WP_033884845.1	0.0
DdB|DdB_07704	XP_037773148.1	2.63e-06	WP_003229179.1	0.0
DdB|DdB_07712	XP_018905097.1	3.77e-10	WP_172850146.1	2.28e-82
DdB|DdB_07720	XP_031616806.1	1.63e-17	WP_341116895.1	9.12e-86
DdB|DdB_07721	XP_031616806.1	6.43e-44	WP_270581864.1	4.64e-146
DdB|DdB_07728	XP_066249198.1	4.44e-25	WP_072175298.1	5.92e-155
DdB|DdB_07729	XP_055388515.1	6.36e-55	WP_131227854.1	0.0
DdB|DdB_07731	XP_060085177.1	4.05e-93	WP_003229237.1	0.0
DdB|DdB_07740	XP_062540162.1	9.71e-138	WP_248719378.1	0.0
DdB|DdB_07743	XP_065584298.1	4.05e-37	WP_342006735.1	5.44e-105
DdB|DdB_07744	XP_057294843.1	7.96e-08	WP_212059347.1	1.43e-151
DdB|DdB_07756	XP_051064971.1	1.46e-51	WP_015251447.1	0.0
DdB|DdB_07761	XP_060083968.1	7.58e-21	WP_003229304.1	9.9e-106
DdB|DdB_07763	XP_021955388.1	3.84e-38	WP_014477664.1	3.14e-117
DdB|DdB_07769	XP_023226553.1	6.3e-33	WP_088326737.1	0.0
DdB|DdB_07772	XP_037047706.1	1.35e-73	WP_038827972.1	0.0
DdB|DdB_07773	XP_027193944.1	2.45e-13	WP_014480556.1	0.0
DdB|DdB_07778	XP_023347475.1	8.58e-66	WP_167408359.1	0.0
DdB|DdB_07781	XP_059142047.1	2.12e-19	WP_326145957.1	1.87e-102
DdB|DdB_07797	XP_023226554.1	2.65e-10	WP_326224038.1	1.05e-62
DdB|DdB_07799	XP_060085422.1	1.7e-17	WP_341116879.1	0.0
DdB|DdB_07804	XP_060084888.1	1.26e-87	WP_003229420.1	0.0
DdB|DdB_07810	XP_011861374.1	1.56e-116	WP_003237775.1	0.0
DdB|DdB_07814	XP_023212574.1	4e-25	WP_213416106.1	1.52e-120
DdB|DdB_07818	XP_063676717.1	1.03e-08	WP_326212840.1	1.17e-156
DdB|DdB_07820	XP_025082315.1	1.05e-98	WP_003229459.1	0.0
DdB|DdB_07822	XP_022778636.1	4.47e-07	WP_268394316.1	4.24e-38
DdB|DdB_07828	XP_033125860.1	1.73e-08	WP_161986258.1	9.16e-152
DdB|DdB_07835	XP_060084883.1	1.99e-22	WP_003222420.1	9.4e-50
DdB|DdB_07839	XP_061168717.1	3.23e-79	WP_014477615.1	0.0
DdB|DdB_07840	XP_054010911.1	7.42e-51	WP_032726365.1	0.0
DdB|DdB_07841	XP_066251609.1	1.45e-25	WP_342006719.1	0.0
DdB|DdB_07845	XP_065839296.1	2.3e-09	WP_069322806.1	0.0
DdB|DdB_07850	XP_022663614.1	3.68e-10	WP_049635569.1	7.63e-51
DdB|DdB_07851	XP_038067851.1	3.07e-51	WP_342006716.1	0.0
DdB|DdB_07857	XP_023226475.1	9.42e-06	WP_323217031.1	8.61e-136
DdB|DdB_07859	XP_050025875.1	3.76e-14	WP_128740619.1	0.0
DdB|DdB_07866	XP_011860577.1	3.38e-60	WP_003229564.1	0.0
DdB|DdB_07869	XP_017481596.1	3.35e-21	WP_343516258.1	8.32e-158
DdB|DdB_07874	XP_053698016.1	2.2e-59	WP_003246039.1	7.64e-177
DdB|DdB_07875	XP_053698017.1	3.47e-33	WP_010886588.1	5.17e-124
DdB|DdB_07876	XP_023214040.1	2.75e-06	WP_216996098.1	4.56e-99
DdB|DdB_07879	XP_002114003.1	3.76e-07	WP_131227801.1	1.25e-89
DdB|DdB_07883	XP_060085203.1	2.5e-103	WP_038427818.1	0.0
DdB|DdB_07884	XP_055388729.1	1.12e-71	WP_072175585.1	0.0
DdB|DdB_07887	XP_023214041.1	5.69e-07	WP_323217086.1	8.85e-76
DdB|DdB_07889	XP_022178896.1	1.05e-07	WP_268278850.1	6.9e-43
DdB|DdB_07890	XP_044733503.1	1.33e-20	WP_213414574.1	2.44e-163
DdB|DdB_07891	XP_017303119.2	7.67e-18	WP_369878041.1	1.39e-82
DdB|DdB_07896	XP_052228534.1	2.17e-06	WP_014480466.1	1.3e-106
DdB|DdB_07907	XP_029679759.1	6.65e-89	WP_326149977.1	0.0
DdB|DdB_07914	XP_046855549.1	7.01e-10	WP_003229669.1	1.74e-68
DdB|DdB_07918	XP_063409503.1	9.6e-20	WP_017696335.1	3.35e-70
DdB|DdB_07925	XP_011862180.1	2.73e-33	WP_017696342.1	0.0
DdB|DdB_07930	XP_060077772.1	4.13e-12	WP_161476824.1	4.82e-98
DdB|DdB_07943	XP_005186668.1	1.22e-39	WP_003229745.1	2.04e-95
DdB|DdB_07944	XP_022778732.1	2.86e-23	WP_003229747.1	0.0
DdB|DdB_07946	XP_023226548.1	6.59e-91	WP_342006699.1	0.0
DdB|DdB_07952	XP_027235151.1	1.3e-21	WP_041353342.1	3.01e-94
DdB|DdB_07953	XP_059080968.1	1.96e-16	WP_015251572.1	7.93e-147
DdB|DdB_07960	XP_034184311.1	2.17e-73	WP_095432344.1	0.0
DdB|DdB_07961	XP_011860186.1	1.81e-84	WP_342819572.1	0.0
DdB|DdB_07963	XP_022778867.1	7.03e-16	WP_131227713.1	3.98e-167
DdB|DdB_07968	XP_066251625.1	1.84e-08	WP_339187387.1	0.0
DdB|DdB_07970	XP_011406109.1	6.59e-06	WP_003229807.1	3.78e-156
DdB|DdB_07971	XP_039278933.1	4.07e-21	WP_014477493.1	6.33e-162
DdB|DdB_07972	XP_024873395.1	3.99e-41	WP_342006697.1	3.03e-129
DdB|DdB_07973	XP_047994464.1	9.74e-14	WP_103330421.1	4.4e-51
DdB|DdB_07977	XP_046403195.1	4.8e-14	WP_154218001.1	1.26e-134
DdB|DdB_07981	XP_020604870.1	1.91e-26	WP_174223087.1	0.0
DdB|DdB_07985	XP_060085882.1	8.18e-07	WP_038427811.1	0.0
DdB|DdB_07989	XP_031772424.1	1.57e-20	WP_003229833.1	0.0
DdB|DdB_07991	XP_013384147.1	5.99e-97	WP_004398804.1	0.0
DdB|DdB_07997	XP_043244212.1	5.23e-12	WP_009967868.1	4.26e-71
DdB|DdB_07999	XP_055628634.1	7.87e-08	WP_342006692.1	4.25e-180
