GeneID	SeqID	GeneGroup1	GeneGroup2	GeneGroup3
DdB_00107	scaffold00001	--	--	--
DdB_00108	scaffold00001	--	--	--
DdB_00109	scaffold00001	--	--	--
DdB_00110	scaffold00001	--	--	--
DdB_00111	scaffold00001	--	--	--
DdB_00112	scaffold00001	--	--	--
DdB_00113	scaffold00001	--	--	--
DdB_00114	scaffold00001	--	--	--
DdB_00115	scaffold00001	--	--	--
DdB_00116	scaffold00001	--	--	--
DdB_00117	scaffold00001	--	--	--
DdB_00118	scaffold00001	--	--	--
DdB_00119	scaffold00001	--	--	--
DdB_00120	scaffold00001	--	--	--
DdB_00121	scaffold00001	--	--	--
DdB_00122	scaffold00001	--	--	--
DdB_00123	scaffold00001	--	--	--
DdB_00124	scaffold00001	--	--	--
DdB_00125	scaffold00001	--	--	--
DdB_00126	scaffold00001	--	--	--
DdB_00127	scaffold00001	--	--	--
DdB_00128	scaffold00001	--	--	--
DdB_00129	scaffold00001	--	--	--
DdB_00130	scaffold00001	--	--	--
DdB_00131	scaffold00001	--	--	--
DdB_00132	scaffold00001	--	--	--
DdB_00133	scaffold00001	--	--	--
DdB_00134	scaffold00001	--	--	--
DdB_00135	scaffold00001	--	--	--
DdB_00136	scaffold00001	--	--	--
DdB_00137	scaffold00001	--	--	--
DdB_00138	scaffold00001	--	--	--
DdB_00139	scaffold00001	--	--	--
DdB_00140	scaffold00001	--	--	--
DdB_00141	scaffold00001	--	--	--
DdB_00142	scaffold00001	--	--	--
DdB_00143	scaffold00001	--	--	--
DdB_00144	scaffold00001	--	--	--
DdB_00145	scaffold00001	--	--	--
DdB_00146	scaffold00001	--	--	--
DdB_00147	scaffold00001	--	--	--
DdB_00148	scaffold00001	--	--	--
DdB_00149	scaffold00001	--	--	--
DdB_00150	scaffold00001	--	--	--
DdB_00151	scaffold00001	--	--	--
DdB_00152	scaffold00001	--	--	--
DdB_00153	scaffold00001	--	--	--
DdB_00154	scaffold00001	--	--	--
DdB_00155	scaffold00001	--	--	--
DdB_00156	scaffold00001	--	--	--
DdB_00157	scaffold00001	--	--	--
DdB_00158	scaffold00001	--	--	--
DdB_00159	scaffold00001	--	--	--
DdB_00160	scaffold00001	--	--	--
DdB_00161	scaffold00001	--	--	--
DdB_00162	scaffold00001	--	--	--
DdB_00163	scaffold00001	--	--	--
DdB_00164	scaffold00001	--	--	--
DdB_00165	scaffold00001	--	--	--
DdB_00166	scaffold00001	--	--	--
DdB_00167	scaffold00001	--	--	--
DdB_00168	scaffold00001	--	--	DdB_00168
DdB_00169	scaffold00001	--	--	--
DdB_00170	scaffold00001	--	--	--
DdB_00171	scaffold00001	--	--	--
DdB_00172	scaffold00001	--	--	--
DdB_00173	scaffold00001	--	--	--
DdB_00174	scaffold00001	--	--	--
DdB_00175	scaffold00001	--	--	--
DdB_00176	scaffold00001	--	--	--
DdB_00177	scaffold00001	--	--	--
DdB_00178	scaffold00001	--	--	--
DdB_00179	scaffold00001	--	--	--
DdB_00180	scaffold00001	--	--	--
DdB_00181	scaffold00001	--	--	--
DdB_00182	scaffold00001	--	--	--
DdB_00183	scaffold00001	--	--	--
DdB_00184	scaffold00001	--	--	--
DdB_00185	scaffold00001	--	--	--
DdB_00186	scaffold00001	--	--	--
DdB_00187	scaffold00001	--	--	--
DdB_00188	scaffold00001	--	--	--
DdB_00189	scaffold00001	--	--	--
DdB_00190	scaffold00001	--	--	--
DdB_00191	scaffold00001	--	--	--
DdB_00192	scaffold00001	--	--	--
DdB_00193	scaffold00001	--	--	--
DdB_00194	scaffold00001	--	--	--
DdB_00195	scaffold00001	--	--	--
DdB_00196	scaffold00001	--	--	--
DdB_00197	scaffold00001	--	--	--
DdB_00198	scaffold00001	--	--	--
DdB_00199	scaffold00001	--	--	--
DdB_00200	scaffold00001	--	--	--
DdB_00201	scaffold00001	--	--	--
DdB_00202	scaffold00001	--	--	--
DdB_00203	scaffold00001	--	--	--
DdB_00204	scaffold00001	--	--	--
DdB_00205	scaffold00001	--	--	--
DdB_00206	scaffold00001	--	--	--
DdB_00207	scaffold00001	--	--	--
DdB_00208	scaffold00001	--	--	--
DdB_00209	scaffold00001	--	--	--
DdB_00210	scaffold00001	--	--	--
DdB_00211	scaffold00001	--	--	--
DdB_00212	scaffold00001	--	--	--
DdB_00213	scaffold00001	--	--	--
DdB_00214	scaffold00001	--	--	--
DdB_00215	scaffold00001	--	--	--
DdB_00216	scaffold00001	--	--	--
DdB_00217	scaffold00001	--	--	--
DdB_00218	scaffold00001	--	--	--
DdB_00219	scaffold00001	--	--	--
DdB_00220	scaffold00001	--	--	--
DdB_00221	scaffold00001	--	--	--
DdB_00222	scaffold00001	--	--	--
DdB_00223	scaffold00001	--	--	--
DdB_00224	scaffold00001	--	--	--
DdB_00225	scaffold00001	--	--	--
DdB_00226	scaffold00001	--	--	--
DdB_00227	scaffold00001	--	--	--
DdB_00228	scaffold00001	--	--	--
DdB_00229	scaffold00001	--	--	--
DdB_00230	scaffold00001	--	--	--
DdB_00231	scaffold00001	--	--	--
DdB_00232	scaffold00001	--	--	--
DdB_00233	scaffold00001	--	--	--
DdB_00234	scaffold00001	--	--	--
DdB_00235	scaffold00001	--	--	--
DdB_00236	scaffold00001	--	--	--
DdB_00237	scaffold00001	--	--	--
DdB_00238	scaffold00001	--	--	--
DdB_00239	scaffold00001	--	--	--
DdB_00240	scaffold00001	--	--	--
DdB_00241	scaffold00001	--	--	--
DdB_00242	scaffold00001	--	--	--
DdB_00243	scaffold00001	--	--	--
DdB_00244	scaffold00001	--	--	--
DdB_00245	scaffold00001	--	--	--
DdB_00246	scaffold00001	--	--	--
DdB_00247	scaffold00001	--	--	--
DdB_00248	scaffold00001	--	--	--
DdB_00249	scaffold00001	--	--	--
DdB_00250	scaffold00001	--	--	--
DdB_00251	scaffold00001	--	--	--
DdB_00252	scaffold00001	--	--	--
DdB_00253	scaffold00001	--	--	--
DdB_00254	scaffold00001	--	--	--
DdB_00255	scaffold00001	--	--	--
DdB_00256	scaffold00001	--	--	--
DdB_00257	scaffold00001	--	--	--
DdB_00258	scaffold00001	--	--	--
DdB_00259	scaffold00001	--	--	--
DdB_00260	scaffold00001	--	--	--
DdB_00261	scaffold00001	--	--	--
DdB_00262	scaffold00001	--	--	--
DdB_00263	scaffold00001	--	--	--
DdB_00264	scaffold00001	--	--	--
DdB_00265	scaffold00001	--	--	--
DdB_00266	scaffold00001	--	--	--
DdB_00267	scaffold00001	--	--	--
DdB_00268	scaffold00001	--	--	--
DdB_00269	scaffold00001	--	--	--
DdB_00270	scaffold00001	--	--	--
DdB_00271	scaffold00001	--	--	--
DdB_00272	scaffold00001	--	--	--
DdB_00273	scaffold00001	--	--	--
DdB_00274	scaffold00001	--	--	--
DdB_00275	scaffold00001	--	--	--
DdB_00276	scaffold00001	--	--	--
DdB_00277	scaffold00001	--	--	--
DdB_00278	scaffold00001	--	--	--
DdB_00279	scaffold00001	--	--	--
DdB_00280	scaffold00001	--	--	--
DdB_00281	scaffold00001	--	--	--
DdB_00282	scaffold00001	--	--	--
DdB_00283	scaffold00001	--	--	--
DdB_00284	scaffold00001	--	--	--
DdB_00285	scaffold00001	--	--	--
DdB_00286	scaffold00001	--	--	--
DdB_00287	scaffold00001	--	--	--
DdB_00288	scaffold00001	--	--	--
DdB_00289	scaffold00001	--	--	--
DdB_00290	scaffold00001	--	--	--
DdB_00291	scaffold00001	--	--	--
DdB_00292	scaffold00001	--	--	--
DdB_00293	scaffold00001	--	--	--
DdB_00294	scaffold00001	--	--	--
DdB_00295	scaffold00001	--	--	--
DdB_00296	scaffold00001	--	--	--
DdB_00297	scaffold00001	--	--	--
DdB_00298	scaffold00001	--	--	--
DdB_00299	scaffold00001	--	--	--
DdB_00300	scaffold00001	--	--	--
DdB_00301	scaffold00001	--	--	--
DdB_00302	scaffold00001	--	--	--
DdB_00303	scaffold00001	--	--	--
DdB_00304	scaffold00001	--	--	--
DdB_00305	scaffold00001	--	--	--
DdB_00306	scaffold00001	--	--	--
DdB_00307	scaffold00001	--	--	--
DdB_00308	scaffold00001	--	--	--
DdB_00309	scaffold00001	--	--	--
DdB_00310	scaffold00001	--	--	--
DdB_00311	scaffold00001	--	--	--
DdB_00312	scaffold00001	--	--	--
DdB_00313	scaffold00001	--	--	--
DdB_00314	scaffold00001	--	--	--
DdB_00315	scaffold00001	--	--	--
DdB_00316	scaffold00001	--	--	--
DdB_00317	scaffold00001	--	--	--
DdB_00318	scaffold00001	--	--	--
DdB_00319	scaffold00001	--	--	--
DdB_00320	scaffold00001	--	--	--
DdB_00321	scaffold00001	--	--	--
DdB_00322	scaffold00001	--	--	--
DdB_00323	scaffold00001	--	--	--
DdB_00324	scaffold00001	--	--	--
DdB_00325	scaffold00001	--	--	--
DdB_00326	scaffold00001	--	--	--
DdB_00327	scaffold00001	--	--	--
DdB_00328	scaffold00001	--	--	--
DdB_00329	scaffold00001	--	--	--
DdB_00330	scaffold00001	--	--	--
DdB_00331	scaffold00001	--	--	--
DdB_00332	scaffold00001	--	--	--
DdB_00333	scaffold00001	--	--	--
DdB_00334	scaffold00001	--	--	--
DdB_00335	scaffold00001	--	--	--
DdB_00336	scaffold00001	--	--	--
DdB_00337	scaffold00001	--	--	--
DdB_00338	scaffold00001	--	--	--
DdB_00339	scaffold00001	--	--	--
DdB_00340	scaffold00001	--	--	--
DdB_00341	scaffold00001	--	--	--
DdB_00342	scaffold00001	--	--	--
DdB_00343	scaffold00001	--	--	--
DdB_00344	scaffold00001	--	--	--
DdB_00345	scaffold00001	--	--	--
DdB_00346	scaffold00001	--	--	--
DdB_00347	scaffold00001	--	--	--
DdB_00348	scaffold00001	--	--	--
DdB_00349	scaffold00001	--	--	--
DdB_00350	scaffold00001	--	--	--
DdB_00351	scaffold00001	--	--	--
DdB_00352	scaffold00001	--	--	--
DdB_00353	scaffold00001	--	--	--
DdB_00354	scaffold00001	--	--	--
DdB_00355	scaffold00001	--	--	--
DdB_00356	scaffold00001	--	--	--
DdB_00357	scaffold00001	--	--	--
DdB_00358	scaffold00001	--	--	--
DdB_00359	scaffold00001	--	--	--
DdB_00360	scaffold00001	--	--	--
DdB_00361	scaffold00001	--	--	--
DdB_00362	scaffold00001	--	--	--
DdB_00363	scaffold00001	--	--	--
DdB_00364	scaffold00001	--	--	--
DdB_00365	scaffold00001	--	--	--
DdB_00366	scaffold00001	--	--	--
DdB_00367	scaffold00001	--	--	--
DdB_00368	scaffold00001	--	--	--
DdB_00369	scaffold00001	--	--	--
DdB_00370	scaffold00001	--	--	--
DdB_00371	scaffold00001	--	--	--
DdB_00372	scaffold00001	--	--	--
DdB_00373	scaffold00001	--	--	--
DdB_00374	scaffold00001	--	--	--
DdB_00375	scaffold00001	--	--	--
DdB_00376	scaffold00001	--	--	--
DdB_00377	scaffold00001	--	--	--
DdB_00378	scaffold00001	--	--	--
DdB_00379	scaffold00001	--	--	--
DdB_00380	scaffold00001	--	--	--
DdB_00381	scaffold00001	--	--	--
DdB_00382	scaffold00001	--	--	--
DdB_00383	scaffold00001	--	--	--
DdB_00384	scaffold00001	--	--	--
DdB_00385	scaffold00001	--	--	--
DdB_00386	scaffold00001	--	--	--
DdB_00387	scaffold00001	--	--	--
DdB_00388	scaffold00001	--	--	--
DdB_00389	scaffold00001	--	--	--
DdB_00390	scaffold00001	--	--	--
DdB_00391	scaffold00001	--	--	--
DdB_00392	scaffold00001	--	--	--
DdB_00393	scaffold00001	--	--	--
DdB_00394	scaffold00001	--	--	--
DdB_00395	scaffold00001	--	--	--
DdB_00396	scaffold00001	--	--	--
DdB_00397	scaffold00001	--	--	--
DdB_00398	scaffold00001	--	--	--
DdB_00399	scaffold00001	--	--	--
DdB_00400	scaffold00001	--	--	--
DdB_00401	scaffold00001	--	--	--
DdB_00402	scaffold00001	--	--	--
DdB_00403	scaffold00001	--	--	--
DdB_00404	scaffold00001	--	--	--
DdB_00405	scaffold00001	--	--	--
DdB_00406	scaffold00001	--	--	--
DdB_00407	scaffold00001	--	--	--
DdB_00408	scaffold00001	--	--	--
DdB_00409	scaffold00001	--	--	--
DdB_00410	scaffold00001	--	--	--
DdB_00411	scaffold00001	--	--	--
DdB_00412	scaffold00001	--	--	--
DdB_00413	scaffold00001	--	--	--
DdB_00414	scaffold00001	--	--	--
DdB_00415	scaffold00001	--	--	--
DdB_00416	scaffold00001	--	--	--
DdB_00417	scaffold00001	--	--	--
DdB_00418	scaffold00001	--	--	--
DdB_00419	scaffold00001	--	--	--
DdB_00420	scaffold00001	--	--	--
DdB_00421	scaffold00001	--	--	--
DdB_00422	scaffold00001	--	--	--
DdB_00423	scaffold00001	--	--	--
DdB_00424	scaffold00001	--	--	--
DdB_00425	scaffold00001	--	--	--
DdB_00426	scaffold00001	--	--	--
DdB_00427	scaffold00001	--	--	--
DdB_00428	scaffold00001	--	--	--
DdB_00429	scaffold00001	--	--	--
DdB_00430	scaffold00001	--	--	--
DdB_00431	scaffold00001	--	--	--
DdB_00432	scaffold00001	--	--	--
DdB_00433	scaffold00001	--	--	--
DdB_00434	scaffold00001	--	--	--
DdB_00435	scaffold00001	--	--	--
DdB_00436	scaffold00001	--	--	--
DdB_00437	scaffold00001	--	--	--
DdB_00438	scaffold00001	--	--	--
DdB_00439	scaffold00001	--	--	--
DdB_00440	scaffold00001	--	--	--
DdB_00441	scaffold00001	--	--	--
DdB_00442	scaffold00001	--	--	--
DdB_00443	scaffold00001	--	--	--
DdB_00444	scaffold00001	--	--	--
DdB_00445	scaffold00001	--	--	--
DdB_00446	scaffold00001	--	--	--
DdB_00447	scaffold00001	--	--	--
DdB_00448	scaffold00001	--	--	--
DdB_00449	scaffold00001	--	--	--
DdB_00450	scaffold00001	--	--	--
DdB_00451	scaffold00001	--	--	--
DdB_00452	scaffold00001	--	--	--
DdB_00453	scaffold00001	--	--	--
DdB_00454	scaffold00001	--	--	--
DdB_00455	scaffold00001	--	--	--
DdB_00456	scaffold00001	--	--	--
DdB_00457	scaffold00001	--	--	--
DdB_00458	scaffold00001	--	--	--
DdB_00459	scaffold00001	--	--	--
DdB_00460	scaffold00001	--	--	--
DdB_00461	scaffold00001	--	--	--
DdB_00462	scaffold00001	--	--	--
DdB_00463	scaffold00001	--	--	--
DdB_00464	scaffold00001	--	--	--
DdB_00465	scaffold00001	--	--	--
DdB_00466	scaffold00001	--	--	--
DdB_00467	scaffold00001	--	--	--
DdB_00468	scaffold00001	--	--	--
DdB_00469	scaffold00001	--	--	--
DdB_00470	scaffold00001	--	--	--
DdB_00471	scaffold00001	--	--	--
DdB_00472	scaffold00001	--	--	--
DdB_00473	scaffold00001	--	--	--
DdB_00474	scaffold00001	--	--	--
DdB_00475	scaffold00001	--	--	--
DdB_00476	scaffold00001	--	--	--
DdB_00477	scaffold00001	--	--	--
DdB_00478	scaffold00001	--	--	--
DdB_00479	scaffold00001	--	--	--
DdB_00480	scaffold00001	--	--	--
DdB_00481	scaffold00001	--	--	--
DdB_00482	scaffold00001	--	--	--
DdB_00483	scaffold00001	--	--	--
DdB_00484	scaffold00001	--	--	--
DdB_00485	scaffold00001	--	--	--
DdB_00486	scaffold00001	--	--	--
DdB_00487	scaffold00001	--	--	--
DdB_00488	scaffold00001	--	--	--
DdB_00489	scaffold00001	--	--	--
DdB_00490	scaffold00001	--	--	--
DdB_00491	scaffold00001	--	--	--
DdB_00492	scaffold00001	--	--	--
DdB_00493	scaffold00001	--	--	--
DdB_00494	scaffold00001	--	--	--
DdB_00495	scaffold00001	--	--	--
DdB_00496	scaffold00001	--	--	--
DdB_00497	scaffold00001	--	--	--
DdB_00498	scaffold00001	--	--	--
DdB_00499	scaffold00001	--	--	--
DdB_00500	scaffold00001	--	--	--
DdB_00501	scaffold00001	--	--	--
DdB_00502	scaffold00001	--	--	--
DdB_00503	scaffold00001	--	--	--
DdB_00504	scaffold00001	--	--	--
DdB_00505	scaffold00001	--	--	--
DdB_00506	scaffold00001	--	--	--
DdB_00507	scaffold00001	--	--	--
DdB_00508	scaffold00001	--	--	--
DdB_00509	scaffold00001	--	--	--
DdB_00510	scaffold00001	--	--	--
DdB_00511	scaffold00001	--	--	--
DdB_00512	scaffold00001	--	--	--
DdB_00513	scaffold00001	--	--	--
DdB_00514	scaffold00001	--	--	--
DdB_00515	scaffold00001	--	--	--
DdB_00516	scaffold00001	--	--	--
DdB_00517	scaffold00001	--	--	--
DdB_00518	scaffold00001	--	--	--
DdB_00519	scaffold00001	--	--	--
DdB_00520	scaffold00001	--	--	--
DdB_00521	scaffold00001	--	--	--
DdB_00522	scaffold00001	--	--	--
DdB_00523	scaffold00001	--	--	--
DdB_00524	scaffold00001	--	--	--
DdB_00525	scaffold00001	--	--	--
DdB_00526	scaffold00001	--	--	--
DdB_00527	scaffold00001	--	--	--
DdB_00528	scaffold00001	--	--	--
DdB_00529	scaffold00001	--	--	--
DdB_00530	scaffold00001	--	--	--
DdB_00531	scaffold00001	--	--	--
DdB_00532	scaffold00001	--	--	--
DdB_00533	scaffold00001	--	--	--
DdB_00534	scaffold00001	--	--	--
DdB_00535	scaffold00001	--	--	--
DdB_00536	scaffold00001	--	--	--
DdB_00537	scaffold00001	--	--	--
DdB_00538	scaffold00001	--	--	--
DdB_00539	scaffold00001	--	--	--
DdB_00540	scaffold00001	--	--	--
DdB_00541	scaffold00001	--	--	--
DdB_00542	scaffold00001	--	--	--
DdB_00543	scaffold00001	--	--	--
DdB_00544	scaffold00001	--	--	--
DdB_00545	scaffold00001	--	--	--
DdB_00546	scaffold00001	--	--	--
DdB_00547	scaffold00001	--	--	--
DdB_00548	scaffold00001	--	--	--
DdB_00549	scaffold00001	--	--	--
DdB_00550	scaffold00001	--	--	--
DdB_00551	scaffold00001	--	--	--
DdB_00552	scaffold00001	--	--	--
DdB_00553	scaffold00001	--	--	--
DdB_00554	scaffold00001	--	--	--
DdB_00555	scaffold00001	--	--	--
DdB_00556	scaffold00001	--	--	--
DdB_00557	scaffold00001	--	--	--
DdB_00558	scaffold00001	--	--	--
DdB_00559	scaffold00001	--	--	--
DdB_00560	scaffold00001	--	--	--
DdB_00561	scaffold00001	--	--	--
DdB_00562	scaffold00001	--	--	--
DdB_00563	scaffold00001	--	--	--
DdB_00564	scaffold00001	--	--	--
DdB_00565	scaffold00001	--	--	--
DdB_00566	scaffold00001	--	--	--
DdB_00567	scaffold00001	--	--	--
DdB_00568	scaffold00001	--	--	--
DdB_00569	scaffold00001	--	--	--
DdB_00570	scaffold00001	--	--	--
DdB_00571	scaffold00001	--	--	--
DdB_00572	scaffold00001	--	--	--
DdB_00573	scaffold00001	--	--	--
DdB_00574	scaffold00001	--	--	--
DdB_00575	scaffold00001	--	--	--
DdB_00576	scaffold00001	--	--	--
DdB_00577	scaffold00001	--	--	--
DdB_00578	scaffold00001	--	--	--
DdB_00579	scaffold00001	--	--	--
DdB_00580	scaffold00001	--	--	--
DdB_00581	scaffold00001	--	--	--
DdB_00582	scaffold00001	--	--	--
DdB_00583	scaffold00001	--	--	--
DdB_00584	scaffold00001	--	--	--
DdB_00585	scaffold00001	--	--	--
DdB_00586	scaffold00001	--	--	--
DdB_00587	scaffold00001	--	--	--
DdB_00588	scaffold00001	--	--	--
DdB_00589	scaffold00001	--	--	--
DdB_00590	scaffold00001	--	--	--
DdB_00591	scaffold00001	--	--	--
DdB_00592	scaffold00001	--	--	--
DdB_00593	scaffold00001	--	--	--
DdB_00594	scaffold00001	--	--	--
DdB_00595	scaffold00001	--	--	--
DdB_00596	scaffold00001	--	--	--
DdB_00597	scaffold00001	--	--	--
DdB_00598	scaffold00001	--	--	--
DdB_00599	scaffold00001	--	--	--
DdB_00600	scaffold00001	--	--	--
DdB_00601	scaffold00001	--	--	--
DdB_00602	scaffold00001	--	--	--
DdB_00603	scaffold00001	--	--	--
DdB_00604	scaffold00001	--	--	--
DdB_00605	scaffold00001	--	--	--
DdB_00606	scaffold00001	--	--	--
DdB_00607	scaffold00001	--	--	--
DdB_00608	scaffold00001	--	--	--
DdB_00609	scaffold00001	--	--	--
DdB_00610	scaffold00001	--	--	--
DdB_00611	scaffold00001	--	--	--
DdB_00612	scaffold00001	--	--	--
DdB_00613	scaffold00001	--	--	--
DdB_00614	scaffold00001	--	--	--
DdB_00615	scaffold00001	--	--	--
DdB_00616	scaffold00001	--	--	--
DdB_00617	scaffold00001	--	--	--
DdB_00618	scaffold00001	--	--	--
DdB_00619	scaffold00001	--	--	--
DdB_00620	scaffold00001	--	--	--
DdB_00621	scaffold00001	--	--	--
DdB_00622	scaffold00001	--	--	--
DdB_00623	scaffold00001	--	--	--
DdB_00624	scaffold00001	--	--	--
DdB_00625	scaffold00001	--	--	--
DdB_00626	scaffold00001	--	--	--
DdB_00627	scaffold00001	--	--	--
DdB_00628	scaffold00001	--	--	--
DdB_00629	scaffold00001	--	--	--
DdB_00630	scaffold00001	--	--	--
DdB_00631	scaffold00001	--	--	--
DdB_00632	scaffold00001	--	--	--
DdB_00633	scaffold00001	--	--	--
DdB_00634	scaffold00001	--	--	--
DdB_00635	scaffold00001	--	--	--
DdB_00636	scaffold00001	--	--	--
DdB_00637	scaffold00001	--	--	--
DdB_00638	scaffold00001	--	--	--
DdB_00639	scaffold00001	--	--	--
DdB_00640	scaffold00001	--	--	--
DdB_00641	scaffold00001	--	--	--
DdB_00642	scaffold00001	--	--	--
DdB_00643	scaffold00001	--	--	--
DdB_00644	scaffold00001	--	--	--
DdB_00645	scaffold00001	--	--	--
DdB_00646	scaffold00001	--	--	--
DdB_00647	scaffold00001	--	--	--
DdB_00648	scaffold00001	--	--	--
DdB_00649	scaffold00001	--	--	--
DdB_00650	scaffold00001	--	--	--
DdB_00651	scaffold00001	--	--	--
DdB_00652	scaffold00001	--	--	--
DdB_00653	scaffold00001	--	--	--
DdB_00654	scaffold00001	--	--	--
DdB_00655	scaffold00001	--	--	--
DdB_00656	scaffold00001	--	--	--
DdB_00657	scaffold00001	--	--	--
DdB_00658	scaffold00001	--	--	--
DdB_00659	scaffold00001	--	--	--
DdB_00660	scaffold00001	--	--	--
DdB_00661	scaffold00001	--	--	--
DdB_00662	scaffold00001	--	--	--
DdB_00663	scaffold00001	--	--	--
DdB_00664	scaffold00001	--	--	--
DdB_00665	scaffold00001	--	--	--
DdB_00666	scaffold00001	--	--	--
DdB_00667	scaffold00001	--	--	--
DdB_00668	scaffold00001	--	--	--
DdB_00669	scaffold00001	--	--	--
DdB_00670	scaffold00001	--	--	--
DdB_00671	scaffold00001	--	--	--
DdB_00672	scaffold00001	--	--	--
DdB_00673	scaffold00001	--	--	--
DdB_00674	scaffold00001	--	--	--
DdB_00675	scaffold00001	--	--	--
DdB_00676	scaffold00001	--	--	--
DdB_00677	scaffold00001	--	--	--
DdB_00678	scaffold00001	--	--	--
DdB_00679	scaffold00001	--	--	--
DdB_00680	scaffold00001	--	--	--
DdB_00681	scaffold00001	--	--	--
DdB_00682	scaffold00001	--	--	--
DdB_00683	scaffold00001	--	--	--
DdB_00684	scaffold00001	--	--	--
DdB_00685	scaffold00001	--	--	--
DdB_00686	scaffold00001	--	--	--
DdB_00687	scaffold00001	--	--	--
DdB_00688	scaffold00001	--	--	--
DdB_00689	scaffold00001	--	--	--
DdB_00690	scaffold00001	--	--	--
DdB_00691	scaffold00001	--	--	--
DdB_00692	scaffold00001	--	--	--
DdB_00693	scaffold00001	--	--	--
DdB_00694	scaffold00001	--	--	--
DdB_00695	scaffold00001	--	--	--
DdB_00696	scaffold00001	--	--	--
